key,method,pca_components,neighbors,min_dist,seed,trustworthiness,knn_overlap,distance_spearman,population_silhouette,super_population_silhouette,outlier_jaccard,seed_disparity
umap_d10_s2026_n15_m0.5,UMAP,10,15.0,0.5,2026,0.9687610933617323,0.32920660276890307,0.6965485791724481,-0.07121775299310684,0.5744137763977051,0.13513513513513514,0.10660460364303635
umap_d10_s2024_n50_m0,UMAP,10,50.0,0.0,2024,0.9743247509614068,0.3498402555910543,0.6524383077790347,-0.10433850437402725,0.6984270811080933,0.1559633027522936,0.11014843549402467
umap_d10_s2025_n50_m0,UMAP,10,50.0,0.0,2025,0.9733557786783388,0.3406815761448349,0.6369930217719522,-0.09943108260631561,0.6948589086532593,0.125,0.11014843549402467
umap_d10_s2026_n50_m0,UMAP,10,50.0,0.0,2026,0.9740082454127407,0.3479499467518637,0.4881549934381413,-0.10334622859954834,0.6986885666847229,0.1559633027522936,0.11014843549402467
umap_d10_s2024_n50_m0.1,UMAP,10,50.0,0.1,2024,0.9725810086368863,0.3373269435569755,0.5728596386110167,-0.09315801411867142,0.6886824369430542,0.14545454545454545,0.09104683667012448
umap_d10_s2025_n50_m0.1,UMAP,10,50.0,0.1,2025,0.9715728460688882,0.3288871139510117,0.4629664247551941,-0.09008340537548065,0.6925858855247498,0.125,0.09104683667012448
umap_d10_s2026_n50_m0.1,UMAP,10,50.0,0.1,2026,0.9718744245402439,0.3367678381256656,0.5172209093448356,-0.09289173036813736,0.6704205870628357,0.13513513513513514,0.09104683667012448
umap_d10_s2024_n50_m0.5,UMAP,10,50.0,0.5,2024,0.9655955549717792,0.288604898828541,0.6644419509839864,-0.07281973958015442,0.5977190136909485,0.14545454545454545,0.28400847598986423
umap_d10_s2025_n50_m0.5,UMAP,10,50.0,0.5,2025,0.9659653945062346,0.2869009584664537,0.522481516249377,-0.07466572523117065,0.6026263236999512,0.14545454545454545,0.28400847598986423
umap_d10_s2026_n50_m0.5,UMAP,10,50.0,0.5,2026,0.965501088356708,0.2878061767838126,0.4903601264499541,-0.07717829942703247,0.6020205616950989,0.13513513513513514,0.28400847598986423
umap_d10_s2024_n100_m0,UMAP,10,100.0,0.0,2024,0.9715917973402974,0.3262513312034079,0.4739911505257843,-0.10844028741121292,0.7098759412765503,0.125,0.09053490487950745
umap_d10_s2025_n100_m0,UMAP,10,100.0,0.0,2025,0.9715423158496587,0.32026091586794464,0.5583850752544722,-0.1070191040635109,0.7153864502906799,0.13513513513513514,0.09053490487950745
umap_d10_s2026_n100_m0,UMAP,10,100.0,0.0,2026,0.9713344313481072,0.32132587859424927,0.46577122014474426,-0.10678578168153763,0.7150382399559021,0.125,0.09053490487950745
umap_d10_s2024_n100_m0.1,UMAP,10,100.0,0.1,2024,0.9700341337509052,0.312779552715655,0.5424575820006571,-0.10939543694257736,0.7067903876304626,0.125,0.18037507381579423
umap_d10_s2025_n100_m0.1,UMAP,10,100.0,0.1,2025,0.9696013236271918,0.3119808306709265,0.7863159524016933,-0.10304170101881027,0.6902793049812317,0.125,0.18037507381579423
umap_d10_s2026_n100_m0.1,UMAP,10,100.0,0.1,2026,0.9699829352707843,0.31190095846645366,0.44075136256656944,-0.10600275546312332,0.6898263692855835,0.13513513513513514,0.18037507381579423
umap_d10_s2024_n100_m0.5,UMAP,10,100.0,0.5,2024,0.9647225945943162,0.27348242811501594,0.4527044124585466,-0.07617080211639404,0.6286687254905701,0.2,0.1422161674676069
umap_d10_s2025_n100_m0.5,UMAP,10,100.0,0.5,2025,0.964428366984181,0.2711128860489883,0.5224145561755771,-0.07342012226581573,0.6137539148330688,0.16666666666666666,0.1422161674676069
umap_d10_s2026_n100_m0.5,UMAP,10,100.0,0.5,2026,0.9645824024030984,0.2717784877529286,0.5434075253580771,-0.07545948773622513,0.6099323630332947,0.14545454545454545,0.1422161674676069
umap_d25_s2024_n5_m0,UMAP,25,5.0,0.0,2024,0.949344110017818,0.25694888178913744,0.6185133723181984,-0.10222313553094864,0.6904166340827942,0.06779661016949153,0.014311741758053047
umap_d25_s2025_n5_m0,UMAP,25,5.0,0.0,2025,0.9499914150525892,0.2589723109691161,0.6268902566696601,-0.09979035705327988,0.6904611587524414,0.058823529411764705,0.014311741758053047
umap_d25_s2026_n5_m0,UMAP,25,5.0,0.0,2026,0.9496173688939025,0.25532481363152293,0.6126714007302768,-0.09876688569784164,0.6875447630882263,0.06779661016949153,0.014311741758053047
